chain	iteration	posterior	likelihood	aRP1	aRP2	aRP3	aJZ1	aJZ2	aJZ3	aTZ1	aTZ2	aTZ3	startP1	startP2	startP3	startZ1	startZ2	startZ3	fR	K	sdZ	sdP	fJ	d	W	q
0	14900	-141.297225	-141.297225	36.611924	3.202169	88.026151	78.698559	62.655305	47.420579	0.105217	0.129438	3.125242	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103996	1.324542	1.402178	0.900000	0.094020	1.503364	1.411270
0	15000	-142.120813	-142.120813	33.761860	3.648233	88.687732	67.265890	83.734763	64.255917	0.201873	0.339464	2.283927	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.103996	1.479200	1.491247	0.900000	0.090564	1.658018	1.369102
0	15100	-139.375918	-139.375918	34.388303	3.648233	87.646909	138.635278	83.973546	116.944435	0.980830	0.530828	2.486170	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102894	1.052870	1.385742	0.900000	0.014811	1.585344	1.365379
0	15200	-138.307870	-138.307870	35.567229	4.496891	70.530265	95.307106	160.694543	184.386474	0.351390	0.620137	2.987215	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101361	1.173790	1.410776	0.900000	0.076099	2.061450	1.300516
0	15300	-141.267425	-141.267425	38.488653	5.576327	53.664062	91.405360	194.702435	149.812915	0.016870	0.381952	2.037312	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101498	1.209777	1.486174	0.900000	0.007944	3.088259	1.382204
0	15400	-141.698053	-141.698053	31.813741	3.601479	39.076365	196.543293	121.474826	88.863482	0.427100	0.159285	2.430134	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.108688	1.174730	1.431326	0.900000	0.088044	3.260275	1.339249
0	15500	-141.834402	-141.834402	28.807188	2.634526	32.821001	192.246777	181.562567	107.674098	0.405123	0.021528	2.306432	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.102866	1.244957	1.719560	0.900000	0.013098	2.839001	1.391144
0	15600	-140.179752	-140.179752	24.246179	0.626113	42.061077	186.961103	194.646147	67.327965	0.502558	0.523431	2.909683	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.105186	1.187182	1.386600	0.900000	0.048418	2.527907	1.406923
0	15700	-142.858189	-142.858189	13.999176	3.515449	48.245415	99.312768	150.138289	46.442455	0.016149	0.208540	2.027758	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.105417	1.179713	1.630166	0.900000	0.049568	1.946918	1.440357
0	15800	-141.975687	-141.975687	1.439113	5.897395	55.063563	125.592607	118.252391	67.552732	0.295613	0.676437	2.542274	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104200	1.200698	1.724947	0.900000	0.032535	2.014823	1.390507
0	15900	-141.610192	-141.610192	4.478851	4.574638	28.451358	152.026650	112.294565	58.434618	0.264963	0.880234	2.681903	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.108343	1.086677	1.599635	0.900000	0.012174	2.109709	1.348809
0	16000	-143.796755	-143.796755	5.302495	8.843011	20.467399	172.338462	94.044245	33.653372	0.147010	0.395931	2.860067	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.114053	1.224002	1.501630	0.900000	0.037794	2.097803	1.385467
